CHLOC1,CHLOC1D
SAW,ISTANBUL-SABIHA GOKCHEN
PRG,PRAGUE-RUZYNE
IST,ISTANBUL
ZRH,ZURICH
SOF,SOFIA
PFO,PAPHOS
ETM,RAMON
BUD,BUDAPEST
OTP,BUCHAREST - OTOPENI
SVO,MOSCOW
BUS,BATUMI
LCA,LARNACA
CTU,CHENGDU
CDG,PARIS-CHARLES DE GAULLE
LHR,LONDON - HEATHROW
DXB,DUBAI
JMK,MIKONOS
ATH,ATHENS
BCN,BARCELONA
HKG,HONG KONG INT'L
VIE,VIENNA
LGG,LIEGE
WAW,WARSAW
JFK,NEW YORK - J.F.KENNEDY
CAN,GUANGZHOU
GVA,GENEVA
NAP,NAPLES-CAPODICHINO
CAI,CAIRO INTERNATIONAL
BAH,BAHRAIN
STN,LONDON -STANSTED
YYZ,TORONTO
BSL,BASEL
ORY,PARIS-ORLY
AMS,AMSTERDAM
KBP,KIEV KYIV-BORISPOL
TEB,TETERBORO
LAX,LOS ANGELES
EWR,NEW YORK - NEWARK
VKO,MOSCOW-VNUKOVO
STR,STUTTGART
PVG,SHANGHAI PUDONG
FCO,ROME - FIUMICINO
BEG,BELGRADE
CGN,COLOGNE-BONN
ABZ,ABERDEEN
BRU,BRUSSELS
MXP,MILAN-MALPENSA
DME,MOSCOW-DOMODEDOVO
MUC,MUNICH
BGY,BERGAMO
MIA,MIAMI INTERNATIONAL
MAD,MADRID
SSH,SHARM EL SHEIKH
BER,BERLIN BRANDENBURG INTL
LTN,LUTON
SFO,SAN FRANCISCO
TBS,TBILISI
ESB,ANKARA-ESENBUGA
MAN,MANCHESTER
SKG,THESSALONIKI
FRA,FRANKFURT
JNB,JOHANNESBURG
LEJ,LEIPZIG-HALLE
BKK,BANGKOK INTL.-SUVARNABHUMI
CMF,CHAMBERY-AIX LES BAINS
AUH,ABU DHABI
LBG,PARIS-LE BOURGET
HEL,HELSINKI
ADD,ADDIS ABABA
RAK,MARRAKESH
RZE,RZESZOW-JASIONKA
AMM,AMMAN (QUEEN ALIA INT'L)
PMI,PALMA DE MALLORCA
TLV,TEL AVIV
JRO,KILIMANJARO
ODS,ODESA
SNN,SHANNON
KRK,KRAKOW
AYT,ANTALYA
VNO,VILNIUS INTL
CRL,BRUSSELS -  CHARLEROI
DWC,DUBAI AL MAKTOUM INT AP
LIN,MILAN-LINATE
LYS,LYON - SATOLAS
LED,ST. PETERSBURG
AZI,AL BATEEN EXECUTIVE AP
EMA,NOTTINGHAM
LGW,LONDON - GATWICK
TAS,TASHKENT
BOM,MUMBAI
MRS,MARSEILLE
NCE,NICE
OSL,OSLO
DEL,DELHI
BQH,BIGGIN HILL
GYD,BAKU HEYDAR ALIYEV INT`L
RBA,RABAT
ZAZ,ZARAGOZA
BBU,BUCHAREST- BANEASA
OPO,PORTO
DLM,DALAMAN
RVN,ROVANIEMI
BLQ,BOLOGNA-BORGO PANIGALE
ALA,ALMATY
BFS,BELFAST - ALDERGROVE
LIS,LISBON
EIN,EINDHOVEN
SHJ,SHARJAH
TRN,TURIN
SEZ,MAHE SEYCHELLES INTL
HKT,PHUKET
KIV,CHISINAU
MSQ,MINSK
TSF,TREVISO
WMI,WARSAW- MODLIN
DUB,DUBLIN
VAR,VARNA
BED,BEDFORD-LAURENCE G. HANSCOM
CMN,CASABLANCA-MOHAMMED V
INN,INNSBRUCK
POZ,POZNAN
IAD,WASHINGTON-DULLES
FAB,FARNBOROUGH
SMV,SAMEDAN
TER,LAJES-AZORES
IAS,IASI
RIX,RIGA
RPN,ROSH PINA
LHA,LAHR
BAK,BAKU
IRE,PRATICA DI MARE(MIL)
BHX,BIRMINGHAM
ADJ,AMMAN-MARKA
IND,INDIANAPOLIS
RMS,RAMSTEIN
BCM,BACAU
TIA,TIRANA
KID,KRISTIANSTAD
CFE,CLERMONT-FERRAND
VRN,VILLAFRANCA-VERONA
FAR,FARO
BBK,KASANE INTERNATIONAL AIRPORT
ALL,ALBENGA
ISL,ISTANBUL-ATATURK
SCV,SUCEAVA-ROMANIA
BWE,BRAUNSCHWEIG
ORD,CHICAGO - O'HARE
MRV,MINERALNYE VODY
KTW,KATOWICE
CIA,ROME - CIAMPINO
EVN,YEREVAN
VLC,VALENCIA
CPH,COPENHAGEN KASTRUP
MLA,MALTA
MHT,MANCHESTER AIRPORT USA
HAM,HAMBURG
VCE,VENICE
BRI,BARI -PALESE MACCHIE
PUF,PAU-FRANCE
BGI,BRIDGETOWN
SKP,SKOPJE
LNZ,LINZ
FKB,BADEN BADEN
AQJ,AQABA
BMA,STOCKHOLM-BROMMA
