Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
PC,780,2022-02-21 07:20:00,2022-02-21 07:38:00,D,SAW,ISTANBUL,TURKEY,1,DEPARTED
LY,2521,2022-02-21 07:25:00,2022-02-21 07:40:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
TK,811,2022-02-21 07:25:00,2022-02-21 07:43:00,D,IST,ISTANBUL,TURKEY,1,DEPARTED
LX,257,2022-02-21 07:35:00,2022-02-21 07:47:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
LY,8853,2022-02-21 07:35:00,2022-02-21 07:47:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
FB,572,2022-02-21 07:10:00,2022-02-21 07:50:00,D,SOF,SOFIA,BULGARIA,1,DEPARTED
QS,1287,2022-02-21 07:10:00,2022-02-21 07:53:00,D,PRG,PRAGUE,CZECH REPUBLIC,1,DEPARTED
6H,7767,2022-02-21 07:10:00,2022-02-21 07:53:00,D,PRG,PRAGUE,CZECH REPUBLIC,1,DEPARTED
052,4XWIA,2022-02-21 08:00:00,2022-02-21 08:00:00,D,PFO,PAPHOS,CYPRUS,3,DEPARTED
6H,421,2022-02-21 08:00:00,2022-02-21 08:00:00,D,ETM,RAMON,ISRAEL,1,CANCELED
LAU,HAJEV,2022-02-21 08:30:00,2022-02-21 08:13:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
6H,421,2022-02-21 08:00:00,2022-02-21 08:17:00,D,ETM,RAMON,ISRAEL,1,DEPARTED
W6,3257,2022-02-21 08:45:00,2022-02-21 08:27:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
TK,7708,2022-02-21 08:45:00,2022-02-21 08:33:00,A,SAW,ISTANBUL,TURKEY,3,LANDED
SU,501,2022-02-21 08:20:00,2022-02-21 08:34:00,D,SVO,MOSCOW,RUSSIAN FEDERATION,1,DEPARTED
6H,885,2022-02-21 08:10:00,2022-02-21 08:37:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
IZ,802,2022-02-21 08:45:00,2022-02-21 08:41:00,A,ETM,RAMON,ISRAEL,1,LANDED
W6,4427,2022-02-21 09:10:00,2022-02-21 08:51:00,A,SOF,SOFIA,BULGARIA,3,LANDED
U8,103,2022-02-21 08:40:00,2022-02-21 08:55:00,D,LCA,LARNACA,CYPRUS,1,DEPARTED
PC,795,2022-02-21 09:10:00,2022-02-21 08:56:00,A,SAW,ISTANBUL,TURKEY,3,LANDED
TK,784,2022-02-21 08:55:00,2022-02-21 09:01:00,A,IST,ISTANBUL,TURKEY,3,LANDED
TK,6068,2022-02-21 08:20:00,2022-02-21 09:04:00,A,IST,ISTANBUL,TURKEY,3,LANDED
3U,3779,2022-02-21 08:55:00,2022-02-21 09:09:00,A,CTU,CHENGDU,CHINA,3,LANDED
LY,323,2022-02-21 09:00:00,2022-02-21 09:10:00,D,CDG,PARIS,FRANCE,3,DEPARTED
6H,426,2022-02-21 09:10:00,2022-02-21 09:10:00,A,ETM,RAMON,ISRAEL,1,CANCELED
